,frame,ficTracTReadMs,ficTracTWriteMs,dx,dy,dz
215,111.0,694.0,694.0,0.0022942821960896254,-0.003941810689866543,-0.0025320390705019236
216,111.0,697.0,697.0,0.0050240796990692616,0.004745228681713343,-0.0005379801732487977
217,111.0,700.0,700.0,0.003691283753141761,0.0038270929362624884,-0.0013646483421325684
218,112.0,703.0,703.0,0.0037881263997405767,0.0038302880711853504,-0.00130376685410738
219,112.0,707.0,707.0,-0.009979522787034512,0.013153551146388054,0.0056144800037145615
220,113.0,710.0,710.0,-0.010232850909233093,0.008615766651928425,-0.015137692913413048
221,113.0,713.0,713.0,0.007608094718307257,0.007079872768372297,-0.01575181633234024
222,114.0,715.0,715.0,0.0032130484469234943,0.0001804385829018429,-0.008808198384940624
223,114.0,719.0,719.0,-0.0148484967648983,-0.005102668423205614,-0.0027335488703101873
224,115.0,722.0,722.0,-0.00769280968233943,0.02092890441417694,-0.011128854006528854
225,115.0,725.0,725.0,0.007868185639381409,0.008234630338847637,0.00147519342135638
226,115.0,728.0,728.0,-0.015076655894517899,-0.000851492106448859,-0.008454290218651295
227,117.0,734.0,734.0,0.00017046363791450858,0.0034758385736495256,-0.00321353692561388
228,117.0,738.0,738.0,-0.0012379914987832308,0.002159337280318141,-0.004033237230032682
229,117.0,740.0,740.0,-0.0011598732089623809,0.002157973125576973,-0.00392648670822382
230,118.0,744.0,744.0,0.010176694951951504,-0.0015633549774065614,-0.01681218110024929
231,118.0,746.0,746.0,-0.0014770281268283725,-0.0016872577834874392,-0.0008450820459984243
232,119.0,749.0,749.0,-0.0013468023389577866,-0.001715678721666336,-0.0019331559306010604
233,119.0,752.0,752.0,-0.011054322123527527,-0.0029140287078917027,-0.005870100110769272
234,119.0,755.0,755.0,-0.008732425048947334,-0.003328079590573907,-0.006226767785847187
235,120.0,758.0,758.0,-0.006609796080738306,0.0006976565346121788,-0.006312543526291847
236,120.0,762.0,762.0,-0.008629553951323032,-0.0133472615852952,-0.00442166905850172
237,121.0,764.0,764.0,-0.008715854026377201,-0.0008029901655390859,-0.011273279786109924
238,125.0,779.0,779.0,0.011748203076422215,-0.003918118309229612,0.00692408811300993
239,125.0,782.0,782.0,0.01618879660964012,0.009979483671486378,0.017544638365507126
240,125.0,786.0,786.0,0.0034692513290792704,0.00872364453971386,-0.007211624179035425
241,125.0,789.0,789.0,-0.0007464751834049821,-0.004536664579063654,0.005514354445040226
242,125.0,792.0,792.0,0.0035473129246383905,-0.0003741538093890995,-0.004943195730447769
243,125.0,795.0,795.0,0.0021290152799338102,-0.003685440868139267,0.009029005654156208
244,125.0,798.0,798.0,0.0021779402159154415,0.00627888273447752,-0.009124694392085075
245,126.0,801.0,801.0,0.0030618084128946066,0.004146474879235029,0.009347999468445778
246,127.0,807.0,807.0,-0.006466253194957972,0.0012966761132702231,0.008526301011443138
247,127.0,810.0,810.0,0.007913907989859581,0.0029051052406430244,-0.0011839221697300673
248,128.0,813.0,813.0,0.01122516579926014,0.002954091876745224,0.004773948807269335
249,128.0,816.0,816.0,-0.002872820245102048,0.00287213665433228,0.026716046035289764
250,129.0,819.0,819.0,0.001958930166438222,-0.0017327434616163373,-0.001856897957623005
251,129.0,822.0,822.0,-0.001100329332984984,-0.0010496786562725902,-0.002871740609407425
252,129.0,825.0,825.0,-0.0009227737900801003,0.00024607960949651897,-0.002571740886196494
